40%,"150-199,9",210
40%,"200-299,9",304
40%,"300-399,9",371
40%,"400-499,9",458
40%,"500-599,9",456
40%,"600-699,9",529
40%,700-1000,657
44%,"0-49,9",105
44%,"50-99,9",121
44%,"100-149,9",163
44%,"150-199,9",210
44%,"200-299,9",304
44%,"300-399,9",371
44%,"400-499,9",458
44%,"500-599,9",456
44%,"600-699,9",529
44%,700-1000,657
49%,"0-49,9",105
49%,"50-99,9",121
49%,"100-149,9",163
49%,"150-199,9",210
49%,"200-299,9",304
49%,"300-399,9",371
49%,"400-499,9",458
49%,"500-599,9",456
49%,"600-699,9",529
49%,700-1000,657
50%,"0-49,9",105
50%,"50-99,9",121
50%,"100-149,9",163
50%,"150-199,9",210
50%,"200-299,9",304
50%,"300-399,9",371
50%,"400-499,9",458
50%,"500-599,9",456
50%,"600-699,9",529
50%,700-1000,657
53%,"0-49,9",105
53%,"50-99,9",121
53%,"100-149,9",163
53%,"150-199,9",210
53%,"200-299,9",304
53%,"300-399,9",371
53%,"400-499,9",458
53%,"500-599,9",456
53%,"600-699,9",529
53%,700-1000,657
60%,"0-49,9",105
60%,"50-99,9",121
60%,"100-149,9",163
60%,"150-199,9",210
60%,"200-299,9",304
60%,"300-399,9",371
60%,"400-499,9",458
60%,"500-599,9",456
60%,"600-699,9",529
60%,700-1000,657
64%,"0-49,9",105
64%,"50-99,9",121
64%,"100-149,9",163
64%,"150-199,9",210
64%,"200-299,9",304
64%,"300-399,9",371
64%,"400-499,9",458
64%,"500-599,9",456
64%,"600-699,9",529
64%,700-1000,657
85%,"0-49,9",105
85%,"50-99,9",121
85%,"100-149,9",163
85%,"150-199,9",210
85%,"200-299,9",304
85%,"300-399,9",371
85%,"400-499,9",458
85%,"500-599,9",456
85%,"600-699,9",529
85%,700-1000,657
PT-16%,"0-49,9",89
PT-16%,"50-99,9",99
PT-16%,"100-149,9",108
PT-16%,"150-199,9",127
PT-16%,"200-299,9",164
PT-16%,"300-399,9",200
PT-16%,"400-499,9",235
PT-16%,"500-599,9",262
PT-16%,"600-699,9",297
PT-16%,700-1000,393
PT-03%,"0-49,9",89
PT-03%,"50-99,9",99
PT-03%,"100-149,9",108
PT-03%,"150-199,9",127
PT-03%,"200-299,9",164
PT-03%,"300-399,9",200
PT-03%,"400-499,9",235
PT-03%,"500-599,9",262
PT-03%,"600-699,9",297
PT-03%,700-1000,393
PT-13%,"0-49,9",89
PT-13%,"50-99,9",99
PT-13%,"100-149,9",108
PT-13%,"150-199,9",127
PT-13%,"200-299,9",164
PT-13%,"300-399,9",200
PT-13%,"400-499,9",235
PT-13%,"500-599,9",262
PT-13%,"600-699,9",297
PT-13%,700-1000,393
PT-17%,"0-49,9",89
PT-17%,"50-99,9",99
PT-17%,"100-149,9",108
PT-17%,"150-199,9",127
PT-17%,"200-299,9",164
PT-17%,"300-399,9",200
PT-17%,"400-499,9",235
PT-17%,"500-599,9",262
PT-17%,"600-699,9",297
PT-17%,700-1000,393
PT-04%,"0-49,9",89
PT-04%,"50-99,9",99
PT-04%,"100-149,9",108
PT-04%,"150-199,9",127
PT-04%,"200-299,9",164
PT-04%,"300-399,9",200
PT-04%,"400-499,9",235
PT-04%,"500-599,9",262
PT-04%,"600-699,9",297
PT-04%,700-1000,393
PT-18%,"0-49,9",89
PT-18%,"50-99,9",99
PT-18%,"100-149,9",108
PT-18%,"150-199,9",127
PT-18%,"200-299,9",164
PT-18%,"300-399,9",200
PT-18%,"400-499,9",235
PT-18%,"500-599,9",262
PT-18%,"600-699,9",297
PT-18%,700-1000,393
PT-01%,"0-49,9",89
PT-01%,"50-99,9",99
PT-01%,"100-149,9",108
PT-01%,"150-199,9",127
PT-01%,"200-299,9",164
PT-01%,"300-399,9",200
PT-01%,"400-499,9",235
PT-01%,"500-599,9",262
PT-01%,"600-699,9",297
PT-01%,700-1000,393
PT-06%,"0-49,9",89
PT-06%,"50-99,9",99
PT-06%,"100-149,9",108
PT-06%,"150-199,9",127
PT-06%,"200-299,9",164
PT-06%,"300-399,9",200
PT-06%,"400-499,9",235
PT-06%,"500-599,9",262
PT-06%,"600-699,9",297
PT-06%,700-1000,393
PT-09%,"0-49,9",89
PT-09%,"50-99,9",99
PT-09%,"100-149,9",108
PT-09%,"150-199,9",127
PT-09%,"200-299,9",164
PT-09%,"300-399,9",200
PT-09%,"400-499,9",235
PT-09%,"500-599,9",262
PT-09%,"600-699,9",297
PT-09%,700-1000,393
PT-05%,"0-49,9",89
PT-05%,"50-99,9",99
PT-05%,"100-149,9",108
PT-05%,"150-199,9",127
PT-05%,"200-299,9",164
PT-05%,"300-399,9",200
PT-05%,"400-499,9",235
PT-05%,"500-599,9",262
PT-05%,"600-699,9",297
PT-05%,700-1000,393
PT-11%,"0-49,9",93
PT-11%,"50-99,9",106
PT-11%,"100-149,9",118
PT-11%,"150-199,9",141
PT-11%,"200-299,9",186
PT-11%,"300-399,9",230
