35*,"0,49-99,9",121
35*,"99,9-149,9",163
35*,"149,9-199,9",210
35*,"199,9-299,9",300
35*,"299,9-399,9",300
35*,"399,9-499,9",300
35*,"499,9-599,9",300
35*,"599,9-699,9",300
35*,"699,9-1000",300
40*,"0-49,9",105
40*,"0,49-99,9",121
40*,"99,9-149,9",163
40*,"149,9-199,9",210
40*,"199,9-299,9",300
40*,"299,9-399,9",300
40*,"399,9-499,9",300
40*,"499,9-599,9",300
40*,"599,9-699,9",300
40*,"699,9-1000",300
44*,"0-49,9",105
44*,"0,49-99,9",121
44*,"99,9-149,9",163
44*,"149,9-199,9",210
44*,"199,9-299,9",300
44*,"299,9-399,9",300
44*,"399,9-499,9",300
44*,"499,9-599,9",300
44*,"599,9-699,9",300
44*,"699,9-1000",300
49*,"0-49,9",105
49*,"0,49-99,9",121
49*,"99,9-149,9",163
49*,"149,9-199,9",210
49*,"199,9-299,9",300
49*,"299,9-399,9",300
49*,"399,9-499,9",300
49*,"499,9-599,9",300
49*,"599,9-699,9",300
49*,"699,9-1000",300
50*,"0-49,9",105
50*,"0,49-99,9",121
50*,"99,9-149,9",163
50*,"149,9-199,9",210
50*,"199,9-299,9",300
50*,"299,9-399,9",300
50*,"399,9-499,9",300
50*,"499,9-599,9",300
50*,"599,9-699,9",300
50*,"699,9-1000",300
53*,"0-49,9",105
53*,"0,49-99,9",121
53*,"99,9-149,9",163
53*,"149,9-199,9",210
53*,"199,9-299,9",300
53*,"299,9-399,9",300
53*,"399,9-499,9",300
53*,"499,9-599,9",300
53*,"599,9-699,9",300
53*,"699,9-1000",300
60*,"0-49,9",105
60*,"0,49-99,9",121
60*,"99,9-149,9",163
60*,"149,9-199,9",210
60*,"199,9-299,9",300
60*,"299,9-399,9",300
60*,"399,9-499,9",300
60*,"499,9-599,9",300
60*,"599,9-699,9",300
60*,"699,9-1000",300
64*,"0-49,9",105
64*,"0,49-99,9",121
64*,"99,9-149,9",163
64*,"149,9-199,9",210
64*,"199,9-299,9",300
64*,"299,9-399,9",300
64*,"399,9-499,9",300
64*,"499,9-599,9",300
64*,"599,9-699,9",300
64*,"699,9-1000",300
85*,"0-49,9",105
85*,"0,49-99,9",121
85*,"99,9-149,9",163
85*,"149,9-199,9",210
85*,"199,9-299,9",300
85*,"299,9-399,9",300
85*,"399,9-499,9",300
85*,"499,9-599,9",300
85*,"599,9-699,9",300
85*,"699,9-1000",300
Viano-Do-Castelo*,"0-49,9",89
Viano-Do-Castelo*,"0,49-99,9",99
Viano-Do-Castelo*,"99,9-149,9",108
Viano-Do-Castelo*,"149,9-199,9",127
Viano-Do-Castelo*,"199,9-299,9",164
Viano-Do-Castelo*,"299,9-399,9",200
Viano-Do-Castelo*,"399,9-499,9",235
Viano-Do-Castelo*,"499,9-599,9",262
Viano-Do-Castelo*,"599,9-699,9",297
Viano-Do-Castelo*,"699,9-1000",393
*,"0-49,9",89
*,"0,49-99,9",99
*,"99,9-149,9",108
*,"149,9-199,9",127
*,"199,9-299,9",164
*,"299,9-399,9",200
*,"399,9-499,9",235
*,"499,9-599,9",262
*,"599,9-699,9",297
*,"699,9-1000",393
Braga*,"0-49,9",89
Braga*,"0,49-99,9",99
Braga*,"99,9-149,9",108
Braga*,"149,9-199,9",127
Braga*,"199,9-299,9",164
Braga*,"299,9-399,9",200
Braga*,"399,9-499,9",235
Braga*,"499,9-599,9",262
Braga*,"599,9-699,9",297
Braga*,"699,9-1000",393
*,"0-49,9",89
*,"0,49-99,9",99
*,"99,9-149,9",108
*,"149,9-199,9",127
*,"199,9-299,9",164
*,"299,9-399,9",200
*,"399,9-499,9",235
*,"499,9-599,9",262
*,"599,9-699,9",297
*,"699,9-1000",393
Porto*,"0-49,9",89
Porto*,"0,49-99,9",99
Porto*,"99,9-149,9",108
Porto*,"149,9-199,9",127
Porto*,"199,9-299,9",164
Porto*,"299,9-399,9",200
Porto*,"399,9-499,9",235
Porto*,"499,9-599,9",262
Porto*,"599,9-699,9",297
Porto*,"699,9-1000",393
Vila-Real*,"0-49,9",89
Vila-Real*,"0,49-99,9",99
Vila-Real*,"99,9-149,9",108
Vila-Real*,"149,9-199,9",127
Vila-Real*,"199,9-299,9",164
Vila-Real*,"299,9-399,9",200
Vila-Real*,"399,9-499,9",235
Vila-Real*,"499,9-599,9",262
Vila-Real*,"599,9-699,9",297
